id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5611167,Apartement near Karlsplatz,14394398,Nikolaus,,Wieden,48.19745,16.37099,Entire home/apt,69,90,0,,,1,270,0,
5181680,NEW Apartment - 10 min DOWNTOWN,26799846,Neno,,Whring,48.21885,16.34045,Entire home/apt,62,2,317,2022-08-21,3.58,5,273,44,
5182761,Luxury apartment with great view,20660800,Sladan,,Donaustadt,48.236,16.40959,Entire home/apt,89,2,273,2022-08-18,3.01,3,23,2,
5611471,cozy flat near chateau Schönbrunn,5807314,Monika,,Penzing,48.19364,16.31419,Entire home/apt,58,3,13,2022-08-04,0.16,4,340,2,
5612500,Close to Parlament and City Hall,7345513,Evelina,,Josefstadt,48.20981,16.34157,Entire home/apt,180,60,110,2020-08-15,1.24,2,83,0,
5182892,AKH - UNI 10min - Zentrum 10 min,26799846,Neno,,Whring,48.21885,16.34045,Entire home/apt,46,2,299,2022-09-05,3.35,5,79,56,
5186367,Comfy apartment in center of Vienna,1090839,Julia,,Landstra§e,48.19991,16.39814,Entire home/apt,60,1,60,2016-10-03,0.65,1,0,0,
5623462,Ruhige Maisonette in U-Bahnnähe,29148568,Rudi,,Donaustadt,48.22385,16.48993,Entire home/apt,60,3,0,,,1,0,0,
5198217,studio in the area of the Opera,6958146,Chris,,Wieden,48.19526,16.36736,Entire home/apt,95,30,61,2020-08-31,0.67,2,343,0,
5626715,3 a Home away from Home,10308908,Heidi,,Dbling,48.23576,16.35306,Entire home/apt,80,3,38,2022-06-05,0.44,4,98,2,
5200025,"Garden Apartment at the Old Danube, GA1",4034068,Philipp,,Donaustadt,48.24278,16.42269,Entire home/apt,75,1,2,2017-06-17,0.03,12,101,0,
5634786,WANZ'inn Studio Apartment,621105,Christoph,,Margareten,48.19459,16.35622,Entire home/apt,79,2,10,2022-07-31,0.70,2,339,5,
5635677,Royal Apartment,29176864,Zoya,,Alsergrund,48.22612,16.36435,Entire home/apt,120,7,34,2022-04-16,0.38,15,284,1,
5201468,ALTBAU-WG in ruhiger Lage **1070**,26906072,Maximilian,,Neubau,48.20251,16.33953,Private room,53,2,2,2015-05-24,0.02,1,0,0,
5636368,Romantic Apartment,29176864,Zoya,,Alsergrund,48.22428,16.36434,Entire home/apt,70,3,78,2022-08-01,0.88,15,347,17,
5636486,Homelike  Apartment,29176864,Zoya,,Alsergrund,48.22587,16.36446,Entire home/apt,70,3,64,2022-08-24,0.72,15,346,9,
5204749,40m² city center apartment in quiet historic house,9944341,Paul,,Neubau,48.20546,16.35054,Entire home/apt,30,1,66,2020-03-14,0.72,1,0,0,
5206714,Balcony Studios with Garden or Lake View,4034068,Philipp,,Donaustadt,48.24277,16.42461,Entire home/apt,75,2,8,2022-07-17,0.13,12,112,6,
5636642,Comfort Apartment,29176864,Zoya,,Alsergrund,48.22501,16.36426,Entire home/apt,120,7,19,2021-08-12,0.22,15,364,0,
5636955,Pretty Appartment,29176864,Zoya,,Alsergrund,48.22607,16.36557,Entire home/apt,87,3,50,2022-08-06,0.56,15,360,15,
5207694,Studio beim Rathaus 176,26940706,Hotel Josefshof,,Josefstadt,48.20765,16.35528,Entire home/apt,99,3,12,2022-07-15,0.18,5,364,1,
5663343,"ELEGANT, VERY BRIGHT, MODERN 1 BR",29315533,Laurence,,Whring,48.22586,16.33373,Entire home/apt,69,5,126,2021-09-09,1.39,1,0,0,
5208237,Cozy room right next to Schönbrunn,4460015,Rafael,,Meidling,48.18073,16.32086,Private room,25,1,0,,,1,0,0,
5663758,Nice city-apartment with 2 gardens,20848396,Cristina,,Josefstadt,48.20883,16.35089,Entire home/apt,124,4,100,2022-08-30,1.12,2,275,13,
5215815,MuseumsQuartier,8549886,Andreas,,Mariahilf,48.19833,16.361,Entire home/apt,90,2,20,2022-09-05,0.22,1,334,1,
5223158,Nice room for 2 Person.,27026953,Kilian,,Meidling,48.1766,16.33768,Private room,19,1,1,2015-02-24,0.01,1,0,0,
